,city_name,Country,First Administration,Second Administration,latitude (degree),longitude (degree),elevation (m),dist_to_sea (km),mean_temp (Celsius),mean_solarradiation (W/m2),mean_humidity (%),mean_windspeed (kph),mean_temp_index,mean_humid_index,mean_wind_index,temp_std (Celsius),mean_temp_range (Celsius),mean_abs_temp_diff_1 (Celsius),precip_std (mm),precip_sum (mm),mean_pressure (millibar),pressure_std (millibar),mean_snow_depth (cm),mean_cloud_cover (%),mean_visibility (km),clear_day_num,cloudy_day_num,overcast_day_num,rain_day_num,snow_day_num,temp precip corr,humid radiat corr,humid precip corr,temp radiat corr,pressure_temp_corr,Koppen climate,Color Code,Climate Names,Group,Precipitation Type,Level of Heat,Region,Continent
65,Los Angeles,United States,California,Los Angeles County,34.0536909,-118.242766,90.32875061,22.72275458,18.24,192.876,61.792,13.9,1.084587656,0.010391977,0.056035759,4.046,9.314,1.001,2.435,143.825,1015.062,3.979,0.0,23.906,15.16,218,130,15,36,0,-0.14,0.063,0.183,0.474,-0.609,Csb,#00D700,Warm-summer Mediterranean climate,Temperate,Dry summer,Warm summer,North America,North America
66,Louisville,United States,Kentucky,Jefferson County,38.2542376,-85.759407,140.2349396,753.0721972,14.754,151.504,63.817,21.61,0.652962153,0.012844174,0.022843365,10.205,10.151,2.86,7.239,1021.12,1017.919,5.997,0.101,52.348,15.302,55,260,50,135,16,0.077,-0.412,0.466,0.564,-0.489,Cfa,#007800,Humid subtropical climate,Temperate,Without dry season,Hot summer,North America,North America
67,Madison,United States,Wisconsin,Dane County,43.074761,-89.3837613,281.5163879,1155.196276,8.624,151.491,69.242,21.988,0.53051035,0.007448578,0.020427268,12.054,9.798,3.033,6.572,857.164,1016.181,7.487,1.596,56.581,14.854,42,262,60,117,46,0.186,-0.48,0.394,0.559,-0.357,Dfa,#550055,Hot-summer humid continental climate,Cold (continental),Without dry season,Hot summer,North America,North America
68,Memphis,United States,Tennessee,Shelby County,35.1460249,-90.0517638,82.90742493,475.7203084,17.293,99.132,65.416,21.159,0.662055457,0.012137213,0.024884218,9.807,10.602,2.564,8.228,1260.949,1017.76,5.774,0.064,45.186,15.24,83,237,38,129,11,0.022,-0.436,0.467,0.385,-0.585,Cfa,#007800,Humid subtropical climate,Temperate,Without dry season,Hot summer,North America,North America
69,Miami,United States,Florida,Miami-Dade County,25.7741728,-80.19362,1.982275844,0.222192721,25.595,172.624,72.806,22.561,0.757333918,0.002806306,0.013753953,3.581,6.666,1.104,10.9,1495.179,1017.148,3.36,0.032,52.88,15.7,16,340,9,197,0,-0.005,-0.412,0.432,0.5,-0.319,Aw,#FFCCCC,"Tropical savanna, wet",Tropical,"Savanna, Wet",,North America,North America
70,Milwaukee,United States,Wisconsin,Milwaukee County,43.0349931,-87.922497,185.981308,1057.132558,9.774,137.045,64.831,26.904,0.549011348,0.011527315,0.007845721,11.214,8.478,3.054,7.138,818.923,1016.353,7.376,0.44,63.08,14.946,26,266,73,126,35,0.117,-0.252,0.376,0.57,-0.337,Dfb,#820082,Warm-summer humid continental climate,Cold (continental),Without dry season,Warm summer,North America,North America
71,Minneapolis,United States,Minnesota,Hennepin County,44.9772995,-93.2654692,255.84375,1193.713471,7.731,143.884,64.191,24.266,0.517992662,0.011812855,0.015949755,13.663,9.388,3.069,3.958,520.582,1015.715,8.41,1.187,49.688,15.113,70,249,45,108,57,0.113,-0.605,0.359,0.551,-0.44,Dfa,#550055,Hot-summer humid continental climate,Cold (continental),Without dry season,Hot summer,North America,North America
72,Nashville,United States,Tennessee,Davidson County,36.1622767,-86.7742984,127.6947479,556.0814322,16.06,174.331,62.436,20.807,0.686379124,0.014661387,0.026665074,9.657,11.333,2.676,5.706,857.288,1018.376,5.505,0.04,46.965,14.775,91,243,31,131,14,0.018,-0.498,0.435,0.506,-0.525,Cfa,#007800,Humid subtropical climate,Temperate,Without dry season,Hot summer,North America,North America
73,New Orleans,United States,Louisiana,Orleans Parish,29.9759983,-90.0782127,0.566280842,6.090839145,22.085,108.006,68.83,16.952,0.732002161,0.008461155,0.040327499,7.216,7.248,1.915,4.538,495.863,1018.173,4.689,0.0,33.547,15.395,124,195,25,153,0,0.088,-0.398,0.239,0.451,-0.644,Cfa,#007800,Humid subtropical climate,Temperate,Without dry season,Hot summer,North America,North America
74,New York,United States,New York,New York,40.7127281,-74.0060152,13.52055073,0.86316222,13.661,163.688,60.604,20.921,0.649760211,0.017257015,0.023512189,9.61,7.381,2.55,5.114,785.419,1017.502,7.327,0.245,43.259,15.018,90,212,40,176,20,-0.041,-0.424,0.467,0.562,-0.308,Cfa,#007800,Humid subtropical climate,Temperate,Without dry season,Hot summer,North America,North America
75,Nikolski,United States,Alaska,Aleutians West Census Area,52.9402166,-168.8609255,2.200372696,1.712694052,5.364,113.751,84.525,48.984,0.091116591,0.000814139,0.001840278,3.174,2.758,0.944,7.816,1692.2,1007.981,13.398,,75.254,14.096,17,180,155,297,127,0.066,-0.438,0.379,0.074,0.266,Cfc,#003200,Subpolar oceanic climate,Temperate,Without dry season,Cold summer,North America,North America
76,Norfolk,United States,Virginia,Norfolk,52.666667,1.0,38.93380737,28.25972009,16.473,167.032,70.164,23.042,0.731958022,0.007433469,0.016280975,8.588,8.551,2.565,7.124,952.372,1018.325,6.418,0.08,46.248,15.121,74,258,33,131,7,0.011,-0.4,0.412,0.532,-0.396,Cfb,#005000,Temperate oceanic climate,Temperate,Without dry season,Warm summer,North America,North America
77,Oklahoma City,United States,Oklahoma,Oklahoma County,35.4729886,-97.5170536,371.4482117,623.1419483,16.332,198.007,58.739,29.489,0.614942426,0.018737408,0.007508804,10.878,12.226,2.909,5.783,624.802,1016.022,7.444,0.052,36.116,15.372,132,210,23,81,13,0.002,-0.417,0.407,0.662,-0.618,Cfa,#007800,Humid subtropical climate,Temperate,Without dry season,Hot summer,North America,North America
78,Omaha,United States,Nebraska,Douglas County,41.2587459,-95.9383758,324.3798828,1146.326846,10.961,233.382,61.819,29.229,0.537018982,0.014904349,0.008298787,12.39,12.057,3.413,4.59,533.202,1016.4,8.186,0.231,52.229,15.393,56,276,32,100,18,0.125,-0.466,0.354,0.329,-0.525,Dfa,#550055,Hot-summer humid continental climate,Cold (continental),Without dry season,Hot summer,North America,North America
79,Orlando,United States,Florida,Orange County,28.5421109,-81.3790304,31.95252609,56.35729346,23.648,197.715,70.401,23.464,0.832447926,0.005156723,0.013339474,5.045,9.412,1.391,13.59,1507.494,1018.09,4.066,0.0,34.433,15.56,95,243,18,171,0,0.069,-0.482,0.334,0.375,-0.384,Cfa,#007800,Humid subtropical climate,Temperate,Without dry season,Hot summer,North America,North America
80,Philadelphia,United States,Pennsylvania,Philadelphia County,39.9527237,-75.1635262,14.55494022,2.878166598,14.092,171.232,62.522,22.95,0.632612295,0.014165758,0.018081586,9.928,9.34,2.605,6.295,968.426,1017.912,7.116,0.048,55.611,15.002,41,273,51,156,15,-0.013,-0.529,0.486,0.53,-0.371,Cfa,#007800,Humid subtropical climate,Temperate,Without dry season,Hot summer,North America,North America
81,Phoenix,United States,Arizona,Maricopa County,33.4484367,-112.074141,331.5572205,245.1544978,24.374,230.965,30.953,23.239,0.716890405,0.013265528,0.021332703,8.877,11.927,1.332,1.937,145.741,1011.718,5.289,0.0,37.829,15.918,115,245,5,57,0,-0.056,-0.669,0.382,0.761,-0.744,BWh,#FFCC00,Hot deserts climate,Arid,Desert,Hot,North America,North America
82,Pittsburgh,United States,Pennsylvania,Allegheny County,40.4416941,-79.9900861,259.6441956,328.7088863,11.444,133.236,66.129,20.497,0.62845606,0.00989604,0.028430838,10.11,9.34,2.87,5.652,948.778,1018.1,6.398,0.157,55.074,14.353,66,235,63,168,43,0.063,-0.441,0.479,0.599,-0.306,Cfa,#007800,Humid subtropical climate,Temperate,Without dry season,Hot summer,North America,North America
83,Portland,United States,Oregon,Multnomah County,45.5202471,-122.674194,10.28013992,83.06777576,12.732,50.695,68.163,17.975,0.648737752,0.008723191,0.038279711,7.251,9.041,1.663,6.477,1009.582,1018.752,6.971,0.017,58.733,14.747,78,200,87,154,13,-0.216,-0.493,0.413,0.613,-0.398,Csb,#00D700,Warm-summer Mediterranean climate,Temperate,Dry summer,Warm summer,North America,North America
84,Raleigh,United States,North Carolina,Wake County,35.7803977,-78.6390989,110.2397614,158.2060672,16.447,185.193,68.766,18.229,0.728925863,0.00849106,0.035653625,8.651,11.339,2.501,7.542,1034.616,1018.537,6.017,0.01,57.158,15.167,45,275,42,153,12,0.011,-0.401,0.41,0.474,-0.409,Cfa,#007800,Humid subtropical climate,Temperate,Without dry season,Hot summer,North America,North America
85,Reno,United States,Nevada,Washoe County,39.529919,-119.8142691,1373.356934,223.2122068,12.762,223.164,41.938,25.538,0.585422712,0.018714274,0.022010011,9.613,14.968,1.742,3.827,200.785,1017.844,6.526,0.165,42.465,15.628,96,260,6,48,25,-0.061,-0.775,0.279,0.695,-0.416,Csb,#00D700,Warm-summer Mediterranean climate,Temperate,Dry summer,Warm summer,North America,North America
86,Richmond,United States,Virginia,Richmond,37.5385087,-77.43428,44.33762741,26.11434482,15.2,179.356,68.056,20.504,0.695350723,0.009876717,0.02668862,9.094,11.255,2.796,6.933,972.291,1018.724,6.546,0.016,52.524,15.18,49,278,35,158,17,-0.01,-0.379,0.45,0.528,-0.417,Cfa,#007800,Humid subtropical climate,Temperate,Without dry season,Hot summer,North America,North America
87,Rochester,United States,New York,Monroe County,43.157285,-77.615214,151.9567871,343.7429083,9.736,195.405,68.732,26.277,0.564838586,0.007594348,0.0107383,10.487,9.065,2.991,13.613,1141.579,1017.189,7.434,1.38,71.879,14.864,9,256,100,172,69,-0.116,-0.569,0.179,0.516,-0.301,Dfa,#550055,Hot-summer humid continental climate,Cold (continental),Without dry season,Hot summer,North America,North America
88,Sacramento,United States,California,Sacramento County,38.5810606,-121.493895,9.334293365,47.31295893,16.597,204.338,59.807,19.684,0.805620667,0.015955557,0.032258896,6.964,14.772,1.407,3.926,263.494,1015.991,5.61,0.0,17.257,14.975,275,78,10,41,0,-0.147,-0.727,0.295,0.692,-0.719,Csa,#96FF00,Hot-summer Mediterranean climate,Temperate,Dry summer,Hot summer,North America,North America
89,Salt Lake City,United States,Utah,Salt Lake County,40.7596198,-111.886797,1300.38269,931.2859119,12.897,184.27,49.255,25.239,0.51970241,0.014786786,0.017695315,11.537,10.94,2.267,2.287,291.1,1016.121,8.691,0.213,53.554,15.162,56,273,36,100,39,-0.117,-0.781,0.302,0.755,-0.616,Dsb,#8C8C8C,"Warm, dry-summer continental climate",Cold (continental),Dry summer,Warm summer,North America,North America
90,San Antonio,United States,Texas,Bexar County,29.4246002,-98.4951405,199.4846191,183.0064604,21.775,196.201,60.368,23.786,0.690803658,0.01473598,0.016177464,8.394,12.381,2.007,2.954,289.5,1015.499,6.277,0.0,44.216,15.314,97,238,29,77,2,-0.095,-0.477,0.289,0.506,-0.722,Cfa,#007800,Humid subtropical climate,Temperate,Without dry season,Hot summer,North America,North America
91,San Diego,United States,California,San Diego County,32.7174202,-117.1627728,14.53625965,1.076243719,17.561,179.857,69.853,19.424,1.092727903,0.006217728,0.026207578,3.777,7.116,0.848,1.75,124.258,1015.881,3.72,0.0,56.07,15.281,47,277,41,41,0,-0.107,0.198,0.113,0.442,-0.654,Csa,#96FF00,Hot-summer Mediterranean climate,Temperate,Dry summer,Hot summer,North America,North America
92,San Francisco,United States,California,San Francisco County,37.7790262,-122.419906,18.92629051,3.169631726,14.273,216.298,71.77,26.753,0.89828775,0.004459144,0.014872323,3.549,8.293,1.09,6.975,371.004,1017.52,4.865,0.0,45.435,15.427,72,272,21,50,0,-0.082,-0.399,0.221,0.575,-0.604,Csb,#00D700,Warm-summer Mediterranean climate,Temperate,Dry summer,Warm summer,North America,North America
93,San Jose,United States,California,Santa Clara County,37.3361663,-121.890591,26.74163628,18.7614682,15.813,218.822,63.288,23.509,0.927603957,0.011575404,0.01765348,4.685,11.592,1.284,2.482,161.756,1017.164,4.849,0.0,40.21,15.387,99,252,13,49,0,-0.14,-0.472,0.257,0.646,-0.635,Csb,#00D700,Warm-summer Mediterranean climate,Temperate,Dry summer,Warm summer,North America,North America
94,Savannah,United States,Georgia,Chatham County,32.0564572,-81.0951271,11.4369173,14.04158248,19.633,197.458,74.139,21.256,0.821379303,0.004270111,0.020773453,6.92,10.458,1.91,7.762,1008.283,1018.178,4.862,0.0,43.555,15.578,88,251,25,148,2,0.177,-0.308,0.33,0.395,-0.437,Cfa,#007800,Humid subtropical climate,Temperate,Without dry season,Hot summer,North America,North America
95,Seattle,United States,Washington,King County,47.6038321,-122.330062,41.95027161,1.103863783,11.555,137.23,74.254,16.671,0.618323225,0.004296416,0.044114257,6.501,7.583,1.475,4.55,645.577,1018.488,7.24,0.067,60.754,14.59,76,193,95,151,16,-0.207,-0.748,0.398,0.731,-0.267,Csb,#00D700,Warm-summer Mediterranean climate,Temperate,Dry summer,Warm summer,North America,North America
96,Sioux Falls,United States,South Dakota,Minnehaha County,43.5488256,-96.7307737,437.89151,1386.399981,8.722,180.802,62.256,30.318,0.501423602,0.014162027,0.007698858,13.204,11.948,3.377,8.563,596.048,1016.06,8.537,0.757,55.019,15.133,35,282,46,103,34,0.109,-0.363,0.269,0.689,-0.505,Dfa,#550055,Hot-summer humid continental climate,Cold (continental),Without dry season,Hot summer,North America,North America
97,St Louis,United States,Missouri,St. Louis,38.6280278,-90.1910154,144.1031036,818.0873363,13.495,275.347,67.952,22.285,0.594899752,0.008994315,0.022454889,10.889,11.279,2.933,11.615,1223.861,1017.448,6.79,0.069,38.146,15.139,140,181,41,120,14,0.092,-0.484,0.385,0.485,-0.542,Cfa,#007800,Humid subtropical climate,Temperate,Without dry season,Hot summer,North America,North America
98,St Petersburg,United States,Florida,Pinellas County,27.7703796,-82.6695085,15.80597115,3.894296751,6.467,112.778,73.981,23.124,0.387549838,0.005076564,0.018109848,9.167,7.021,1.845,5.784,779.503,1012.94,11.709,7.074,69.396,9.719,21,237,107,171,113,0.042,-0.738,0.238,0.713,0.031,Cfa,#007800,Humid subtropical climate,Temperate,Without dry season,Hot summer,North America,North America
99,Tallahassee,United States,Florida,Leon County,30.4380832,-84.2809332,62.34009933,33.86979134,20.21,188.983,73.011,20.621,0.816033326,0.005831441,0.024114575,6.741,11.925,1.68,10.084,1397.846,1018.081,4.384,0.0,45.109,15.322,77,264,24,145,0,0.128,-0.471,0.374,0.37,-0.532,Cfa,#007800,Humid subtropical climate,Temperate,Without dry season,Hot summer,North America,North America
100,Tampa,United States,Florida,Hillsborough County,27.9477595,-82.458444,5.021304607,1.85200067,23.767,163.088,71.022,18.634,0.808926732,0.004852106,0.030269796,5.168,8.713,1.287,8.776,1204.098,1017.588,3.857,0.0,48.853,15.525,48,301,16,138,0,0.144,-0.411,0.276,0.485,-0.425,Cfa,#007800,Humid subtropical climate,Temperate,Without dry season,Hot summer,North America,North America
101,Traverse City,United States,Michigan,Grand Traverse County,44.7606441,-85.6165301,183.0114899,778.2578846,8.855,144.034,67.117,23.192,0.520354253,0.007931929,0.017191545,10.955,9.296,2.896,5.298,729.38,1015.325,7.816,0.306,69.533,14.581,21,226,117,149,70,0.123,-0.51,0.373,0.651,-0.281,Dfb,#820082,Warm-summer humid continental climate,Cold (continental),Without dry season,Warm summer,North America,North America
102,Tucson,United States,Arizona,Pima County,32.2228765,-110.9748477,722.4799194,233.1889491,21.15,279.341,35.501,23.173,0.762363539,0.015554823,0.017126587,8.046,14.31,1.434,2.239,208.502,1012.935,4.775,0.0,13.854,15.894,254,101,1,65,0,0.071,-0.546,0.373,0.611,-0.733,BSh,#CC8D14,Hot semi-arid (steppe) climate,Arid,Steppe,Hot,North America,North America
103,Utqiagvik,United States,Alaska,Alaska,71.2905556,-156.788611,3.048000097,2.420407626,-8.822,98.293,81.549,29.65,0.028570762,0.000316863,0.007883289,11.9,5.732,2.521,2.513,268.477,1016.139,12.041,17.641,69.381,12.686,49,151,159,50,116,-0.053,0.16,-0.008,0.414,-0.532,ET,#64FFFF,Tundra,Polar,Tundra,,North America,North America
104,Washington Dc,United States,District of Columbia,District of Columbia,38.8950368,-77.0365427,7.112980843,1.264489699,14.949,92.161,62.533,24.29,0.661817471,0.014286042,0.013886418,9.409,9.087,2.412,6.865,971.353,1018.322,6.785,0.101,63.975,15.284,19,288,58,136,13,-0.003,-0.449,0.445,0.027,-0.386,Cfa,#007800,Humid subtropical climate,Temperate,Without dry season,Hot summer,North America,North America
105,Alexandria,Egypt,Alexandria Governorate,Alexandria,31.2000924,29.9187387,8.747756004,1.639319331,20.918,243.366,67.609,22.202,0.945812062,0.005087958,0.017029085,5.382,9.061,0.716,18.05,797.5,1014.019,5.105,0.0,37.582,10.216,60,305,0,51,0,-0.175,-0.32,0.082,0.685,-0.736,BWh,#FFCC00,Hot deserts climate,Arid,Desert,Hot,"Africa, Middle East",Africa
106,Aswan,Egypt,Aswan Governorate,Aswan,24.091071,32.897306,97.09081268,221.4080199,27.092,269.432,25.008,22.371,0.709953533,0.010665292,0.014796796,7.785,13.928,1.037,0.052,1.6,1011.398,5.187,0.0,15.208,11.388,257,105,1,4,0,-0.057,-0.841,0.062,0.71,-0.926,BWh,#FFCC00,Hot deserts climate,Arid,Desert,Hot,"Africa, Middle East",Africa
107,Cairo,Egypt,Cairo Governorate,Cairo,30.0443879,31.2357257,21.35083771,118.2540787,22.719,241.982,54.077,23.161,0.914118197,0.021103648,0.015007377,6.071,9.139,1.028,0.52,37.9,1013.885,5.088,0.0,28.562,8.781,128,236,0,33,0,-0.282,-0.376,0.229,0.693,-0.8,BWh,#FFCC00,Hot deserts climate,Arid,Desert,Hot,"Africa, Middle East",Africa
108,Algiers,Algeria,Algiers Province,Algiers [El Djazaïr],36.7753606,3.0601882,10.44936371,0.630209524,19.68,216.34,69.448,22.993,0.893475837,0.005992686,0.019493416,6.06,11.496,1.2,3.808,378.672,1017.55,5.692,0.0,44.703,10.372,70,293,2,101,0,-0.222,-0.115,0.283,0.61,-0.518,Csa,#96FF00,Hot-summer Mediterranean climate,Temperate,Dry summer,Hot summer,Northern Africa,Africa
109,Tamanrasset,Algeria,Tamanrasset Province,Tamanrasset,22.7902972,5.5193268,1368.654175,1185.878607,22.722,265.156,16.522,26.142,0.882086185,0.00226004,0.011902767,6.368,14.469,0.924,0.411,22.8,1020.678,2.953,0.0,27.744,11.114,148,216,1,24,0,0.098,-0.459,0.42,0.714,-0.332,BWh,#FFCC00,Hot deserts climate,Arid,Desert,Hot,Northern Africa,Africa
110,Almaty,Kazakhstan,Almaty Province,Karasay District,43.2363924,76.9457275,887.62146,2053.181721,11.548,185.627,61.336,17.179,0.60549867,0.013678213,0.043356105,11.354,11.333,1.83,4.9,751.313,1017.238,8.041,2.613,67.356,8.249,26,226,106,202,64,-0.072,-0.794,0.264,0.815,-0.844,Dfa,#550055,Hot-summer humid continental climate,Cold (continental),Without dry season,Hot summer,Central Asia,Asia
111,Astana,Kazakhstan,Astana,Astana,51.1282205,71.4306682,349.9391479,1511.165626,3.979,161.909,64.571,26.927,0.447397255,0.01394198,0.015033481,14.737,11.867,2.527,1.558,260.64,1018.602,10.028,10.95,60.879,9.138,27,278,58,73,86,-0.028,-0.731,0.321,0.754,-0.663,Dfb,#820082,Warm-summer humid continental climate,Cold (continental),Without dry season,Warm summer,Central Asia,Asia
112,Amellagou,Morocco,Draa-Tafilalet,Errachidia Province,31.9980219,-5.0065451,1331.27417,273.1962935,21.971,226.404,27.968,25.191,0.812083305,0.011083721,0.020140748,8.523,12.334,1.115,1.96,110.1,1020.725,5.562,0.015,35.275,11.979,113,250,1,39,5,-0.135,-0.646,0.407,0.716,-0.285,BSk,#CCAA54,Cold semi-arid (steppe) climate,Arid,Steppe,Cold,Northern Africa,Africa
113,Casablanca,Morocco,Casablanca-Settat,Casablanca,33.5945144,-7.6200284,13.05108547,1.510288869,18.452,210.862,78.316,19.236,1.065280456,0.002303043,0.026014415,4.167,9.501,0.922,4.455,346.513,1017.468,4.469,0.0,50.698,8.462,27,324,1,109,0,-0.201,-0.087,0.197,0.562,-0.404,Csa,#96FF00,Hot-summer Mediterranean climate,Temperate,Dry summer,Hot summer,Northern Africa,Africa
114,Marrakesh,Morocco,Marrakesh-Safi,Marrakesh,31.6294723,-7.9810845,460.6627808,141.5256215,22.01,243.994,50.684,18.887,0.924298383,0.021897148,0.031489547,6.342,13.907,1.415,1.394,89.4,1017.288,4.125,0.0,39.484,9.301,94,268,0,44,0,-0.206,-0.245,0.339,0.623,-0.344,BSh,#CC8D14,Hot semi-arid (steppe) climate,Arid,Steppe,Hot,Northern Africa,Africa
115,Amman,Jordan,Amman Governorate,Amman,31.9515694,35.9239625,820.7145996,113.5073149,18.801,236.404,53.322,20.73,0.842806139,0.016225577,0.027810259,7.723,10.227,1.414,3.036,225.28,1014.986,4.479,0.013,20.943,6.105,216,147,0,66,6,-0.317,-0.811,0.362,0.745,-0.662,BSk,#CCAA54,Cold semi-arid (steppe) climate,Arid,Steppe,Cold,"Middle East, Western Asia",Asia
116,Amsterdam,Netherlands,North Holland,Government of Amsterdam,52.3730796,4.8924534,2.54970479,32.42734069,11.762,182.413,77.668,25.295,0.631641162,0.002602876,0.016066071,5.829,6.884,1.451,4.34,734.602,1016.86,9.34,0.002,70.592,25.984,28,226,111,217,13,-0.022,-0.7,0.306,0.648,-0.045,Cfb,#005000,Temperate oceanic climate,Temperate,Without dry season,Warm summer,Western Europe,Europe
117,Andorra,Andorra,Andorra la Vella,Andorra la Vella,42.5063174,1.5218355,1011.103882,129.4015278,12.503,772.183,68.249,18.7,0.684277911,0.00747405,0.03368531,8.457,13.522,1.518,10.189,1567.956,1019.124,6.579,2.215,62.558,16.103,24,264,62,148,89,-0.338,-0.083,-0.223,0.11,-0.298,Cfb,#005000,Temperate oceanic climate,Temperate,Without dry season,Warm summer,Southern Europe,Europe
118,Ankara,Turkey,Ankara,Ankara,39.9207886,32.8540482,863.4700317,182.6508991,13.002,203.393,58.316,13.821,0.6761545,0.017838523,0.053057517,8.874,10.393,1.478,7.358,563.455,1014.325,7.339,0.325,49.179,15.03,63,286,15,119,32,-0.137,-0.752,0.193,0.704,-0.74,Csa,#96FF00,Hot-summer Mediterranean climate,Temperate,Dry summer,Hot summer,"Southeastern Europe, Western Asia",Asia
119,Erzurum,Turkey,Erzurum,Erzurum,39.9054993,41.2658236,1891.984253,132.0637238,7.872,225.221,62.755,11.803,0.493432174,0.013092354,0.050537707,10.232,12.405,1.657,11.583,833.365,1017.94,4.71,10.185,46.603,17.396,60,290,9,116,77,-0.106,-0.64,0.168,0.682,0.027,Dsb,#8C8C8C,"Warm, dry-summer continental climate",Cold (continental),Dry summer,Warm summer,"Southeastern Europe, Western Asia",Asia
120,Istanbul,Turkey,Istanbul,İstanbul,41.0091982,28.9662187,49.42886353,0.654821512,15.459,146.685,73.777,21.044,0.793861081,0.003202856,0.024949688,7.395,5.776,1.276,6.86,800.851,1016.367,6.542,0.055,51.201,12.306,50,310,3,168,19,-0.226,-0.526,0.292,0.593,-0.58,Csa,#96FF00,Hot-summer Mediterranean climate,Temperate,Dry summer,Hot summer,"Southeastern Europe, Western Asia",Asia
121,Izmir,Turkey,Izmir,İzmir,38.423734,27.142826,5.900829315,1.208711294,18.812,214.452,58.494,19.161,0.809404987,0.019493134,0.028341858,7.848,8.731,1.246,5.237,434.935,1014.235,6.033,0.013,32.572,18.256,154,210,0,69,6,-0.139,-0.716,0.396,0.699,-0.657,Csa,#96FF00,Hot-summer Mediterranean climate,Temperate,Dry summer,Hot summer,"Southeastern Europe, Western Asia",Asia
122,Antalaha,Madagascar,Sava,Antalaha,-14.9061237,50.2785486,9.170306206,1.603263176,23.212,247.078,80.549,18.757,0.973575279,0.00028824,0.029272433,2.139,9.276,0.49,8.734,1662.8,1015.093,4.462,0.0,51.364,23.725,14,293,37,335,0,0.098,-0.455,0.575,0.369,-0.889,Af,#960000,Tropical rainforest climate,Tropical,Rainforest,,Eastern Africa,Africa
123,Antananarivo,Madagascar,Analamanga,Antananarivo-Atsimondrano,-18.8791902,47.5079055,1249.083008,155.6781726,18.492,238.778,75.903,23.143,1.123806399,0.001332032,0.010386026,2.884,11.239,0.743,11.395,1156.6,1020.604,3.67,0.0,62.663,12.475,2,362,1,139,0,0.196,-0.628,0.368,0.335,-0.796,Cwb,#8C8C00,Subtropical highland climate or temperate oceanic climate with dry winters,Temperate,Dry winter,Warm summer,Eastern Africa,Africa
124,Antarctica,Antarctica,Antarctica,,-82.8627519,135.0,2624.807861,1635.571659,-33.989,137.13,56.966,37.087,6.67e-11,0.016082014,0.001400556,7.909,6.859,3.042,0.421,74.8,1006.103,13.423,106.102,60.789,16.583,81,159,125,0,175,0.293,0.406,0.442,0.747,-0.463,EF,#6496FF,Ice cap climate,Polar,Ice cap,,Antarctica,Antarctica
125,Arkhangelsk,Russia,Arkhangelsk Oblast,Arkhangelsk,64.543022,40.537121,6.919044495,1.367853878,3.248,99.753,81.201,16.856,0.319248972,0.002336202,0.040107983,10.733,7.737,2.255,3.061,547.274,1011.405,12.004,15.688,70.226,9.801,10,255,100,135,141,0.158,-0.742,0.272,0.678,0.01,Dfc,#C800C8,Subarctic climate,Cold (continental),Without dry season,Cold summer,"Eastern Europe, Northern Asia",Asia
126,Astrakhan,Russia,Astrakhan Oblast,Gorod Astrakhan',46.3498308,48.0326203,-9.248364449,57.29224153,12.061,175.803,67.757,26.311,0.549304802,0.012101646,0.012740002,11.07,10.237,1.776,2.173,231.6,1016.808,7.952,0.2,39.879,9.217,127,188,37,120,36,-0.064,-0.805,0.248,0.76,-0.585,BSk,#CCAA54,Cold semi-arid (steppe) climate,Arid,Steppe,Cold,"Eastern Europe, Northern Asia",Asia
127,Chokurdakh,Russia,Sakha Republic,Sakha Republic,70.622169,147.916168,19.92556572,139.2398667,-11.651,104.501,74.507,19.028,0.13287579,0.004044422,0.033556829,17.47,9.965,2.641,1.457,190.7,1014.631,11.069,26.038,74.82,23.201,8,228,129,58,146,0.183,-0.411,0.172,0.698,-0.532,ET,#64FFFF,Tundra,Polar,Tundra,,"Eastern Europe, Northern Asia",Asia
128,Ekaterinburg,Russia,Sverdlovsk Oblast,Gorod Yekaterinburg,56.839104,60.60825,248.5009308,1153.489377,3.205,122.768,72.396,22.798,0.382327966,0.00568131,0.018014663,12.936,10.285,2.619,2.092,278.1,1016.271,10.899,11.173,64.258,9.76,15,307,43,56,85,-0.127,-0.663,0.312,0.717,-0.317,Dfb,#820082,Warm-summer humid continental climate,Cold (continental),Without dry season,Warm summer,"Eastern Europe, Northern Asia",Asia
129,Grozny,Russia,Chechnya,Gorod Groznyy,43.3197031,45.6934308,125.7935181,150.7590992,13.907,173.188,61.894,14.556,0.618426855,0.014694869,0.048969832,9.796,9.994,1.579,4.174,561.4,1016.287,7.31,0.163,55.82,22.25,57,218,73,173,44,0.025,-0.742,0.257,0.715,-0.645,Cfa,#007800,Humid subtropical climate,Temperate,Without dry season,Hot summer,"Eastern Europe, Northern Asia",Asia
130,Habarovsk,Russia,Khabarovsk Krai,Gorod Khabarovsk,48.4814433,135.0720667,84.56910706,368.3679528,2.933,155.456,70.156,24.737,0.434403816,0.008180432,0.019080168,15.227,9.046,1.899,6.701,837.015,1011.405,8.111,10.433,52.342,9.392,34,322,8,105,62,0.238,-0.223,0.356,0.647,-0.599,Dwb,#B464FA,Monsoon-influenced warm-summer humid continental climate,Cold (continental),Dry winter,Warm summer,"Eastern Europe, Northern Asia",Asia
